No,province,id,case,death,popdens,city,pop,pop_city,CFR
1,HaNoi,HN,94514,279,2455,0.49245623,8246.6,4061089.547,0.002951944
2,TPHoChiMinh,HCM,513141,19828,4476,0.800999176,9227.6,7391300,0.038640452
3,HaiPhong,HP,22423,19,1315,0.454129312,2053.5,932554.5413,0.000847344
4,DaNang,DN,20908,118,910,0.872558744,1169.5,1020457.451,0.005643773
5,HaGiang,HG,10615,17,110,0.158450542,870.2,137883.662,0.001601507
6,CaoBang,CB,1219,2,80,0.236414114,533.1,126032.3641,0.001640689
10,LangSon,LS,2846,8,95,0.230401542,788.7,181717.696,0.002810963
11,BacKan,BK,750,1,65,0.222650572,316.5,70468.90602,0.001333333
12,ThaiNguyen,TN,4776,2,371,0.320888162,1307.9,419689.6266,0.00041876
15,PhuTho,PT,4886,8,419,0.19018409,1481.9,281833.8037,0.001637331
16,VinhPhuc,VP,6457,8,948,0.299667871,1171.2,350971.01,0.001238965
17,QuangNinh,QN,8706,5,217,0.644343269,1337.6,861873.5566,0.000574317
18,BacGiang,BG,11052,17,473,0.181351202,1841.6,333976.373,0.001538183
19,BacNinh,BN,18525,25,1725,0.190542559,1419.1,270398.9456,0.001349528
21,HaGiang,HG,7663,3,1149,0.314678712,1916.8,603176.1544,0.000391492
22,HungYen,HY,11617,2,1364,0.322156545,1269.1,408848.8708,0.000172161
23,HoaBinh,HB,4459,8,188,0.165260147,861.2,142322.0386,0.001794124
25,NamDinh,ND,6258,5,1067,0.278105891,1780.3,495111.9177,0.000798977
27,NinhBinh,NB,2437,2,717,0.117343229,993.9,116627.435,0.000820681
28,ThanhHoa,TH,13493,13,330,0.213890454,3664.9,783887.1247,0.000963463
29,NgheAn,NA,10489,37,204,0.232822365,3365.2,783493.8242,0.003527505
30,HaTinh,HT,2181,6,216,0.155001189,1296.6,200974.5412,0.002751032
31,QuangBinh,QB,4892,8,113,0.221938579,902,200188.598,0.001635323
32,QuangTri,QT,3461,6,138,0.229617065,637.3,146334.9553,0.001733603
33,ThuaThienHue,TTH,18266,98,231,0.313592568,1133.7,355519.8945,0.005365159
34,QuangNam,QN,9900,23,142,0.495999859,1505,746479.7876,0.002323232
35,QuangNgai,QN,10120,35,239,0.263248817,1233.4,324691.0913,0.003458498
37,BinhDinh,BD,27414,97,245,0.327442229,1487.9,487201.2922,0.003538338
38,GiaLai,GL,9012,28,99,0.403152094,1541.8,621579.8978,0.003106968
39,PhuYen,PY,8986,62,174,0.290051432,874.3,253591.9673,0.006899622
40,DakLak,DL,14562,79,145,0.327004461,1886.9,617024.7169,0.005425079
41,KhanhHoa,KH,58611,248,241,0.247215068,1240.4,306645.5701,0.004231288
42,LamDong,LD,13215,43,134,0.42393828,1309.8,555274.3591,0.003253878
43,BinhPhuoc,BP,41540,127,147,0.392589652,1011.1,396947.3969,0.003057294
44,BinhDuong,BD,292071,3400,958,0.240386517,2580.6,620341.4468,0.011641005
45,NinhThuan,NT,6483,55,177,0.844072,593.6,501041.1393,0.008483727
46,TayNinh,TN,86848,816,292,0.353075938,1178.3,416029.3781,0.009395726
47,BinhThuan,BT,28328,349,156,0.323432315,1239.3,400829.6683,0.012319966
48,DongNai,DN,99426,1615,542,0.380985427,3177.4,1210543.095,0.016243236
49,LongAn,LA,41214,1051,381,0.442729905,1713.7,758706.2381,0.025501043
50,DongThap,DT,46720,823,473,0.182369898,1841.6,335852.4048,0.017615582
51,AnGiang,AG,35200,1174,539,0.315899461,1904.5,601630.523,0.033352273
52,BaRiaVungTau,BRVT,29909,321,590,0.575637447,1167.9,672286.9745,0.010732555
53,TienGian,TG,35079,1178,706,0.140199939,1772.5,248504.392,0.033581345
54,KienGian,KG,32303,708,272,0.284434342,1728.9,491758.533,0.021917469
55,CanTho,CT,43813,792,862,0.700265166,1240.7,868818.992,0.018076827
56,BenTre,nBT,33667,307,540,0.098003714,1292.4,126660,0.009118722
57,VinhLong,VL,51388,581,670,0.226859048,1023,232076.8058,0.011306142
58,TraVinh,TV,36020,12,428,0.174099451,1009.9,175823.036,0.000333148
59,SocTrang,ST,31917,486,361,0.323322796,1195.7,386597.0671,0.015226995
60,BacLieu,BL,34161,330,342,0.278867627,913.5,254745.5774,0.009660139
61,CaMau,CM,53230,252,229,0.227081222,1193.9,271112.2708,0.004734172
63,DakNong,DN,7087,20,98,0.152827201,637.9,97488.47173,0.002822069
64,HauGiang,HG,14649,127,450,0.279604812,729.8,204055.5921,0.008669534
