id,Province,popdens
1,Hà N?i,2455
2,TP. H? Chí Minh,4476
3,H?i Phòng,1315
4,?à N?ng,910
5,Hà Giang,110
6,Cao B?ng,80
7,Lai Châu,52
8,Lào Cai,117
9,Tuyên Quang,135
10,L?ng S?n,95
11,B?c K?n,65
12,Thái Nguyên,371
13,Yên Bái,121
14,S?n La,90
15,Phú Th?,419
16,V?nh Phúc,948
17,Qu?ng Ninh,217
18,B?c Giang,473
19,B?c Ninh,1725
21,H?i D??ng,1149
22,H?ng Yên,1364
23,Hòa Bình,188
24,Hà Nam,1000
25,Nam ??nh,1067
26,Thái Bình,1179
27,Ninh Bình,717
28,Thanh Hoá,330
29,Ngh? An,204
30,Hà T?nh,216
31,Qu?ng Bình,113
32,Qu?ng Tr?,138
33,Th?a Thiên Hu?,231
34,Qu?ng Nam,142
35,Qu?ng Ngãi,239
36,Kon Tum,57
37,Bình ??nh,245
38,Gia Lai,99
39,Phú Yên,174
40,??k L?k,145
41,Khánh Hoà,241
42,Lâm ??ng,134
43,Bình Ph??c,147
44,Bình D??ng,958
45,Ninh Thu?n,177
46,Tây Ninh,292
47,Bình Thu?n,156
48,??ng Nai,542
49,Long An,381
50,??ng Tháp,473
51,An Giang,539
52,Bà R?a - V?ng Tàu,590
53,Ti?n Giang,706
54,Kiên Giang,272
55,C?n Th?,862
56,B?n Tre,540
57,V?nh Long,670
58,Trà Vinh,428
59,Sóc Tr?ng,361
60,B?c Liêu,342
61,Cà Mau,229
62,?i?n Biên,64
63,??k Nông,98
64,H?u Giang,450
